No.,Class,Platform, Assignee ,Link,,,,,
1,Books,Roboflow,Duvayn,https://universe.roboflow.com/hear/book-detection-i3rzz,,,,,
2,Books,Roboflow,Duvayn,https://universe.roboflow.com/data-evdqa/bookyolo,,,,,
3,Books,Roboflow,Duvayn,https://universe.roboflow.com/dilsher-dahri-envyx/labells,,,,,
4,Books,Roboflow,Duvayn,https://universe.roboflow.com/erdal-sezgl/defter,,,,,
5,Books,Roboflow,Duvayn,https://universe.roboflow.com/maksym-dziubatyi/domace-zadanie-notebook,,,,,
6,Books,Roboflow,Duvayn,https://universe.roboflow.com/testyolo-jjozu/demo_dataset-book,,,,,
7,Books,Roboflow,Duvayn,https://universe.roboflow.com/is-project/dataset-fyc2c,,,,,
8,Books,Roboflow,Duvayn,https://universe.roboflow.com/dairymilk/classmate,,,,,
9,Books,Roboflow,Duvayn,https://universe.roboflow.com/bebas-cc4lc/mid-v8hbm,,,,,
10,Books,Roboflow,Duvayn,https://universe.roboflow.com/futbol-tce5h/custom-workflow-object-detection-iauiv,,,,,
11,Books,Roboflow,Duvayn,https://universe.roboflow.com/peter-kafel-ddgdb/book-detection-e1luo,,,,,
12,Books,Roboflow,Duvayn,https://universe.roboflow.com/yolov8-7y4mu/book-v0bh6,,,,,
13,Books,Roboflow,Duvayn,https://universe.roboflow.com/daeeun-ko/note,,,,,
14,Books,Roboflow,Duvayn,https://universe.roboflow.com/learnings-yru48/lens-studio-book-detection,,,,,
15,Books,Roboflow,Duvayn,https://universe.roboflow.com/sreejith-3hu4y/book2-dyrkb,,,,,
16,Can,Kaggle,Ji Kit,https://www.kaggle.com/datasets/arkadiyhacks/drinking-waste-classification?resource=download,,,,,
17,Can,Roboflow,Ji Kit,https://universe.roboflow.com/test-ldxbz/objetos-pi3uq,,,,,
18,Can,Roboflow,Ji Kit,https://universe.roboflow.com/teste-sv2a7/wallersoncanbottleteste,,,,,
19,Crumpled Paper,Roboflow,Ji Kit,https://universe.roboflow.com/garbage-data-w7xrt/thesis-project-49z2j,,,,,
20,Crumpled Paper,Roboflow,Ji Kit,https://universe.roboflow.com/sdp2/paper-qbskh,,,,,
21,Crumpled Paper,Roboflow,Ji Kit,https://universe.roboflow.com/geels/waste-detect-53nqc,,,,,
22,Crumpled Paper,Roboflow,Ji Kit,https://universe.roboflow.com/smart-vacuum/vacuumdb-260jv,,,,,
23,Crumpled Paper,Roboflow,Ji Kit,https://universe.roboflow.com/umeki/tissues-cplcn,,,,,
24,Cutlery,Kaggle,Ji Kit,https://www.kaggle.com/datasets/alistairking/recyclable-and-household-waste-classification/data,,,,,
25,Cutlery,Kaggle,Ji Kit,https://universe.roboflow.com/ki-iznql/cutlery-l951w,,,,,
26,Cutlery,Kaggle,Ji Kit,https://universe.roboflow.com/lemon-dataset-h2ime/utensil,,,,,
27,Cutlery,Kaggle,Ji Kit,https://universe.roboflow.com/tokushima-university-luktu/kithen-utensils-detection-2,,,,,
28,Cutlery,Kaggle,Ji Kit,https://universe.roboflow.com/daniel-bender/silverware-ouuks,,,,,
29,Cutlery,Kaggle,Ji Kit,https://universe.roboflow.com/test-j0ryj/smth-0ja9b,,,,,
30,Cutlery,Kaggle,Ji Kit,https://universe.roboflow.com/deneme-1ffqc/hatali_hatasiz_catal_,,,,,
31,Cutlery,Kaggle,Ji Kit,https://universe.roboflow.com/rotary-wires-sukww/coco_knifefork,,,,,
32,Cutlery,Kaggle,Ji Kit,https://universe.roboflow.com/dyslexiaapp/fork2-gp1ol,,,,,
33,Cutlery,Kaggle,Ji Kit,https://universe.roboflow.com/randomdetection/random-things-raq44,,,,,
34,Egg Shell,Roboflow,hr2g21,https://app.roboflow.com/hannah-ml/eggshells/browse?queryText=&pageSize=200&startingIndex=200&browseQuery=true,,,,,
35,Egg Shell,Roboflow,hr2g21,https://universe.roboflow.com/testing-iqbre/eggdetection-oo6sp/browse?queryText=&pageSize=50&startingIndex=0&browseQuery=true,,,,,
36,Egg Shell,Roboflow,hr2g21,https://universe.roboflow.com/multipipedetection/egg-crack-detection-l9je6,,,,,
37,Egg Shell,Roboflow,hr2g22,https://universe.roboflow.com/360digitmg-qf6sf/egg-crack-detection-ba5lc/browse?queryText=&pageSize=200&startingIndex=0&browseQuery=true ,,,,,
38,Envelope (paper),Roboflow,Ji Kit,https://universe.roboflow.com/phuoc-levu-prw0c/img-z02ob,,,,,
39,Envelope (paper),Roboflow,Ji Kit,https://universe.roboflow.com/waste-z6zen/envelopes,,,,,
40,Envelope (paper),Roboflow,Ji Kit,https://universe.roboflow.com/sih-aflxj/postal-card,,,,,
41,Food Waste,Roboflow,Ji Kit,https://universe.roboflow.com/daata10/project10-jkc3x/browse?queryText=&pageSize=200&startingIndex=600&browseQuery=true,,,,,
42,Food Waste,Roboflow,Zhe Wen,https://universe.roboflow.com/biodrainergy-workspace1/biogas_and_nonbiogas,,,,,
43,Fruit,Roboflow,Zhe Wen,https://universe.roboflow.com/fruitclassification-dqola/fruitclassification-jx6nu,,,,,
44,Fruit,Roboflow,Zhe Wen,https://universe.roboflow.com/andreas-bombaert/traitement-signaux_trognon,,,,,
45,Fruit,Roboflow,Zhe Wen,https://universe.roboflow.com/gustas/banana-peel-c1fyr,,,,,
46,Fruit,Roboflow,Zhe Wen,https://universe.roboflow.com/garbage-ci9br/orange-peels,,,,,
47,Fruit,Roboflow,Zhe Wen,https://universe.roboflow.com/sayem-sbnh0/orangepeel,,,,,
48,Fruit,Roboflow,Zhe Wen,https://universe.roboflow.com/datafruit/fruit_9-dl9ak,,,,,
49,Fruits,Roboflow,Zhe Wen,https://universe.roboflow.com/grpglmthesis/household-trash-dataset-simple,,,,,
50,Fruits,Roboflow,Zhe Wen,https://universe.roboflow.com/grpglmthesis/merged-dzqq2,,,,,
51,Fruits,Roboflow,Zhe Wen,https://universe.roboflow.com/food-1b74y/food-waste-detection-jghxg,,,,,
52,Glass,Kaggle,Ji Kit,https://www.kaggle.com/datasets/asdasdasasdas/garbage-classification,,,,,
53,Glass,Kaggle,Ji Kit,https://universe.roboflow.com/cyc-sog4j/-cst83-4wkuf/browse?queryText=&pageSize=50&startingIndex=200&browseQuery=true,,,,,
54,Glass,Kaggle,Ji Kit,https://universe.roboflow.com/cnnyolo-tjbcj/glass_data,,,,,
55,Glass bottle,Roboflow,Darcy ,https://universe.roboflow.com/roboflow-universe-projects/beverage-containers-3atxb,,,,,
56,Glass bottles,Roboflow,Darcy ,https://universe.roboflow.com/langley-world-affairs-club/parker-s-dataset,,,,,
57,Glass bottles,Roboflow,Darcy ,https://universe.roboflow.com/glass-cqigu/glass-bottle-zwhlv,,,,,
58,Glass bottles,Roboflow,Darcy ,https://universe.roboflow.com/capstone-o404h/recycle-1ozs6,,,,,
59,Glass bottles,Roboflow,Darcy ,https://universe.roboflow.com/test-wioke/glass-vgjyd,,,,,
60,Glass bottles,Roboflow,Darcy ,https://universe.roboflow.com/test-6bg6u/glass-0tltr,,,,,
61,Glass bottles,Roboflow,Darcy ,https://universe.roboflow.com/cutlerynow/glass_glow,,,,,
62,Glass jar,Roboflow,Darcy ,https://universe.roboflow.com/test-iwr92/jars-mjxmx,,,,,
63,Glass jar,Roboflow,Darcy ,https://universe.roboflow.com/nhandienhuyen/nhandienhu,,,,,
64,Glass jar,Roboflow,Darcy ,https://universe.roboflow.com/ss-wxwup/glass2-cmm9k,,,,,
65,Glass jar,Roboflow,Darcy ,https://universe.roboflow.com/ruby-fae-espinosa-bpzit/espinosa-dsp-jar,,,,,
66,Glass jar,Roboflow,Darcy ,https://universe.roboflow.com/minhthong/glass-model,,,,,
67,Glass jar,Roboflow,Darcy ,https://universe.roboflow.com/cutlerynow/glass_glow,,,,,
68,Glass jar,Roboflow,Darcy ,https://universe.roboflow.com/test-wioke/glass-vgjyd,,,,,
69,Glass jar,Roboflow,Darcy ,https://universe.roboflow.com/cnnyolo-tjbcj/glass_data,,,,,
70,Meat,Roboflow,Hiroki,https://universe.roboflow.com/chartproject/cook-meat-project,,,,,
71,Meat,Roboflow,Hiroki,https://universe.roboflow.com/meatproject/meat-project-n41vj,,,,,
72,Meat,Roboflow,Hiroki,https://universe.roboflow.com/hashimotonolab/meat_detection,,,,,
73,Meat,Roboflow,Hiroki,https://universe.roboflow.com/anomememe/-gzgs0,,,,,
74,Meat,Roboflow,Hiroki,https://universe.roboflow.com/kenkyuu-qfoap/oniku-8qccn,,,,,
75,Meat,Roboflow,Hiroki,https://universe.roboflow.com/julius-muller/sausage,,,,,
76,Meat,Roboflow,Hiroki,https://universe.roboflow.com/graduation-project-3v6ak/sausage-0e5g0,,,,,
77,Meat,Roboflow,Hiroki,https://universe.roboflow.com/meatdetection-ebpe8/meat-piece-object-detection-jmmr8,,,,,
78,Meat,Roboflow,Hiroki,https://universe.roboflow.com/objectdetection1-ryrok/test-lffbn,,,,,
79,Meat,Roboflow,Hiroki,https://universe.roboflow.com/project-3ienc/oniku-hahub,,,,,
80,Meat,Roboflow,Hiroki,https://universe.roboflow.com/alter-traking/alter-7fbfv,,,,,
81,Meat,Roboflow,Hiroki,https://universe.roboflow.com/kenzi-lamberto/ikan-goreng-lyqs8,,,,,
82,Meat,Roboflow,Hiroki,https://universe.roboflow.com/eenuskam/-c4uaq,,,,,
83,Meat,Roboflow,Hiroki,https://universe.roboflow.com/not-eggtarts/sashimi-f7n8k,,,,,
84,Meat,Roboflow,Hiroki,https://universe.roboflow.com/study-f2sd4/godeungeogui,,,,,
85,Milk Carton,Roboflow,Ji Kit,https://universe.roboflow.com/sinfonia-cj7xa/sinfonia,,,,,
86,Milk Carton,Roboflow,Ji Kit,https://universe.roboflow.com/chungbuk-science-highschool/milk-hx6ir,,,,,
87,Milk Carton,Roboflow,Ji Kit,https://universe.roboflow.com/vecgp7/milkbox_segmentation_backup2,,,,,
88,Paper,Roboflow,Ji Kit,https://universe.roboflow.com/mito-l1sep/mito-kx6r7/browse?queryText=&pageSize=50&startingIndex=0&browseQuery=true,,,,,
89,Paper,Roboflow,Ji Kit,https://universe.roboflow.com/evellynfurtado/recolheai-8fmxf,,,,,
90,Paper,RealWaste,Ji Kit,https://archive.ics.uci.edu/dataset/908/realwaste,,,,,
91,Paper Box,Roboflow,Ji Kit,https://universe.roboflow.com/robocup2022p2-wlqgr/cereal-9ol9l,,,,,
92,Paper Box,Roboflow,Ji Kit,https://universe.roboflow.com/daniella-camargo/hera-vision---cereal,,,,,
93,Paper Box,Roboflow,Ji Kit,https://universe.roboflow.com/antonio-bezerra/pumpkin-vs-nestum,,,,,
94,Paper Box,Roboflow,Ji Kit,https://universe.roboflow.com/jiangsu-university-of-science-and-technology/color-depth,,,,,
95,Paper Box,Roboflow,Ji Kit,https://universe.roboflow.com/bachelor-thesis-ymaax/haferflocken,,,,,
96,Paper Box,Roboflow,Ji Kit,https://universe.roboflow.com/sinfonia-ix2zs/sinfonia-robocup-objects-1,,,,,
97,Paper Box,Roboflow,Ji Kit,https://universe.roboflow.com/machine-vision-and-perception-group-nwn4c/object-detection-zxrzo,,,,,
98,Paper Box,Roboflow,Ji Kit,https://universe.roboflow.com/robocup2022-kogzd/cereal-j0nck,,,,,
99,Paper Cups,Roboflow,Hiroki,https://universe.roboflow.com/paper-cup-1cyxb/paper-cup-dhxoa,,,,,
100,Pasta,Roboflow,Zhe Wen,https://universe.roboflow.com/trash-classes/prototype-1-cooked-pasta,,,,,
101,Pasta,Roboflow,Zhe Wen,https://universe.roboflow.com/ecomm/pastadataset,,,,,
102,Pasta,Roboflow,Zhe Wen,https://universe.roboflow.com/21a3807-fjfob/food-u5uoy,,,,,
103,Pastries,Roboflow,Ji Kit,https://universe.roboflow.com/ditaiproject-qih0e/criossant,,,,,
104,Pastries,Roboflow,Ji Kit,https://universe.roboflow.com/ditaiproject-qih0e/bakery-hs4vs,,,,,
105,Pastries,Roboflow,Ji Kit,https://universe.roboflow.com/pan-jjbwm/bread-counter-uuwqb/browse?queryText=&pageSize=100&startingIndex=0&browseQuery=true,,,,,
106,Pastries,Roboflow,Ji Kit,https://universe.roboflow.com/seatech-dozjd/clone_bakery_merge,,,,,
107,Pastries,Roboflow,Ji Kit,https://universe.roboflow.com/nick-a8ppi/bread-1pzkn,,,,,
108,Pastries,Roboflow,Ji Kit,https://universe.roboflow.com/project-scpck/breaddetection,,,,,
109,Pastries,Roboflow,Ji Kit,https://universe.roboflow.com/mold-bywpm/mold_detection_cv_cp,,,,,
110,Pen,Roboflow,Duvayn,https://universe.roboflow.com/yotha/pen-j2ron,,,,,
111,Pen,Roboflow,Duvayn,https://universe.roboflow.com/divyesh-v4vgg/jay_shree_ram,,,,,
112,Pen,Roboflow,Duvayn,https://universe.roboflow.com/ai-fwoya/pen-7joeu,,,,,
113,Pen,Roboflow,Duvayn,https://universe.roboflow.com/kkkk-g7sid/lab09-vii4h,,,,,
114,Pen,Roboflow,Duvayn,https://universe.roboflow.com/mohammed-fuhvg/boya-tanimi,,,,,
115,Pen,Roboflow,Duvayn,https://universe.roboflow.com/onur-kaya-yjuml/120-7jmcc,,,,,
116,Pen,Roboflow,Duvayn,https://universe.roboflow.com/elyssa/object-detection-mybcw,,,,,
117,Pen,Roboflow,Duvayn,https://universe.roboflow.com/project-1eax0/pen-classification-ay6i3,,,,,
118,Pen,Roboflow,Duvayn,https://universe.roboflow.com/rai-frontier/pen-and-pencil-tenhb,,,,,
119,Pen,Roboflow,Duvayn,https://universe.roboflow.com/firaas/pen-2aaod,,,,,
120,Pen,Roboflow,Duvayn,https://universe.roboflow.com/imagesdetectionsdataset/obstacles_detections,,,,,
121,Pen,Roboflow,Duvayn,https://universe.roboflow.com/ai-projects-kurhm/pen-detection-ybgkd,,,,,
122,Pen,Roboflow,Duvayn,https://universe.roboflow.com/sisvas/pen-toyod,,,,,
123,Pen,Roboflow,Duvayn,https://universe.roboflow.com/bengkel-xvxhr/pen-af77s,,,,,
124,Pen,Roboflow,Duvayn,https://universe.roboflow.com/betl-pfjns/pencil_tanima,,,,,
125,Pen,Roboflow,Duvayn,https://universe.roboflow.com/interactlab/interact_lap_material_on_table,,,,,
126,Pencil,Roboflow,Duvayn,https://universe.roboflow.com/liusanp/pencil-xx8wd,,,,,
127,Pencil,Roboflow,Duvayn,https://universe.roboflow.com/vineethjvenattu-gmail-com/color-pencil,,,,,
128,Pencil,Roboflow,Duvayn,https://universe.roboflow.com/interactlab/interact_lap_material_on_table,,,,,
129,Pencil,Roboflow,Duvayn,https://universe.roboflow.com/skripsi-rei/testprojek,,,,,
130,Pencil,Roboflow,Duvayn,https://universe.roboflow.com/lalaworkspace/stationery-l7qrn,,,,,
