Idx,Class,Valid FileName,Result FileName,Number of Item Detected,Detected Classes Idx,Detected Classes Name,Confidence Score
1,alCan,0221_2025_CROWDPLEASERSPDP-09.jpg,0221_2025_CROWDPLEASERSPDP-09_ee5afb2eb18f4df4b4bf269105eb8e9f.jpg,1,[24.0],['alCan'],[0.6041117310523987]
1,alCan,1000_F_84302638_Uzbg0qjWLD3j25lxb9FCYVHrtiFgTHco.jpg,1000_F_84302638_Uzbg0qjWLD3j25lxb9FCYVHrtiFgTHco_1f51e0f1454b4c41a1d34733d6660132.jpg,2,"[9.0, 24.0]","['plasticContainer', 'alCan']","[0.47759225964546204, 0.34924617409706116]"
1,alCan,100401162-2_16-coca-cola-diet-coke-soft-drink.jpg,100401162-2_16-coca-cola-diet-coke-soft-drink_5bf0544c147847ccbb7a4a045b38b23b.jpg,2,"[24.0, 4.0]","['alCan', 'milkCarton']","[0.8428493142127991, 0.6223052740097046]"
1,alCan,1080 (2).jpg,1080 (2)_b75f414067734631a5542e56f4941268.jpg,1,[24.0],['alCan'],[0.9031049013137817]
1,alCan,1080.jpg,1080_dd75baf15fdc4ae3a9d82e3dce434bb1.jpg,1,[24.0],['alCan'],[0.881714940071106]
1,alCan,114449_Sunsoul_15_09_25_100FStraight.jpg,114449_Sunsoul_15_09_25_100FStraight_90af614669584d3face70425c87ce935.jpg,3,"[24.0, 24.0, 24.0]","['alCan', 'alCan', 'alCan']","[0.8740453124046326, 0.8550306558609009, 0.8429797887802124]"
1,alCan,126012-3L.jpg,126012-3L_7332c2bad3264997a74a0ddd6998f336.jpg,1,[24.0],['alCan'],[0.9140796661376953]
1,alCan,14864978-7895176581079749.jpg,14864978-7895176581079749_097fad9424634a919582fbd95f89ab90.jpg,1,[24.0],['alCan'],[0.5924215316772461]
1,alCan,180ml-sprite-soft-drink-can-500x500.jpg,180ml-sprite-soft-drink-can-500x500_d9a498de58bc40d0845b0197dd703e53.jpg,1,[24.0],['alCan'],[0.9145903587341309]
1,alCan,20162143_front_a01_-2.png,20162143_front_a01_-2_f69b52bf91f24510ae827c2c5b41e4f4.jpg,2,"[24.0, 1.0]","['alCan', 'paperBox']","[0.8596394062042236, 0.35256627202033997]"
1,alCan,20162143_front_a06_-2.png,20162143_front_a06_-2_93cf13bfd9954280add6d9e625c4d14f.jpg,2,"[24.0, 1.0]","['alCan', 'paperBox']","[0.8053900003433228, 0.6240053176879883]"
