Idx,Class,Valid FileName,Result FileName,Number of Item Detected,Detected Classes Idx,Detected Classes Name,Confidence Score
1,alCan,0221_2025_CROWDPLEASERSPDP-09.jpg,0221_2025_CROWDPLEASERSPDP-09_4c8336afe80d4852ab79fdf4f2aca5a1.jpg,2,"[18.0, 24.0]","['vape', 'alCan']","[0.4217347502708435, 0.3052274286746979]"
1,alCan,1000_F_84302638_Uzbg0qjWLD3j25lxb9FCYVHrtiFgTHco.jpg,1000_F_84302638_Uzbg0qjWLD3j25lxb9FCYVHrtiFgTHco_dad90a5b61ef42e1b148546e43c22a10.jpg,1,[24.0],['alCan'],[0.6038957834243774]
1,alCan,100401162-2_16-coca-cola-diet-coke-soft-drink.jpg,100401162-2_16-coca-cola-diet-coke-soft-drink_34dba67036624ab480c776ec580ad376.jpg,2,"[24.0, 4.0]","['alCan', 'milkCarton']","[0.8569163084030151, 0.3049987256526947]"
1,alCan,1080 (2).jpg,1080 (2)_c8088e3e77ff4939a5e207a0c7561f4c.jpg,1,[24.0],['alCan'],[0.8895189166069031]
1,alCan,1080.jpg,1080_4b68d813b6a64d8498026261eff08e50.jpg,1,[24.0],['alCan'],[0.900572657585144]
1,alCan,114449_Sunsoul_15_09_25_100FStraight.jpg,114449_Sunsoul_15_09_25_100FStraight_37e0be346f594325affd277a30676afe.jpg,4,"[24.0, 24.0, 24.0, 11.0]","['alCan', 'alCan', 'alCan', 'paperCup']","[0.917770504951477, 0.90489262342453, 0.8647856712341309, 0.4994509816169739]"
1,alCan,126012-3L.jpg,126012-3L_2d98a541d1fe4235a63d0117ca66e78a.jpg,1,[24.0],['alCan'],[0.8870187997817993]
1,alCan,14864978-7895176581079749.jpg,14864978-7895176581079749_8157940b60c44372878f873ec9d6ff17.jpg,2,"[24.0, 11.0]","['alCan', 'paperCup']","[0.5224208235740662, 0.42198553681373596]"
1,alCan,180ml-sprite-soft-drink-can-500x500.jpg,180ml-sprite-soft-drink-can-500x500_0d3ef411c328418884d375ba2e252d96.jpg,1,[24.0],['alCan'],[0.8936704993247986]
1,alCan,20162143_front_a01_-2.png,20162143_front_a01_-2_abcdd98f35924c4f8b02158523f88ae4.jpg,2,"[24.0, 1.0]","['alCan', 'paperBox']","[0.8139396905899048, 0.6651334762573242]"
1,alCan,20162143_front_a06_-2.png,20162143_front_a06_-2_8773595298724730aa77d88d4e7b2ef5.jpg,2,"[24.0, 1.0]","['alCan', 'paperBox']","[0.8042458891868591, 0.7310503721237183]"
1,alCan,20220719_150038_clipped_rev_1_a9af920e-b507-42db-937b-201801.png,20220719_150038_clipped_rev_1_a9af920e-b507-42db-937b-201801_f014dee71238422ba90dd10a25ccee77.jpg,1,[24.0],['alCan'],[0.8832562565803528]
1,alCan,275ml-330ml-300ml-355ml-500ml-2-Pieces-Shape-Printed-Aluminu.jpg,275ml-330ml-300ml-355ml-500ml-2-Pieces-Shape-Printed-Aluminu_dc2b96c5592a438196973fd6b10ced12.jpg,3,"[24.0, 11.0, 11.0]","['alCan', 'paperCup', 'paperCup']","[0.8485146760940552, 0.8403545022010803, 0.7818955183029175]"
1,alCan,3-cans-of-pepsi-soft-drink-silhouetted-on-white-background-B.jpg,3-cans-of-pepsi-soft-drink-silhouetted-on-white-background-B_5fc4f20bb0454dfcb99a1a841511dd70.jpg,2,"[24.0, 24.0]","['alCan', 'alCan']","[0.9012992978096008, 0.8250946998596191]"
1,alCan,326887_cokezerofootball_922393.jpg,326887_cokezerofootball_922393_c7212b6d75ff4b139fcf12de2e0577d2.jpg,5,"[11.0, 11.0, 11.0, 11.0, 24.0]","['paperCup', 'paperCup', 'paperCup', 'paperCup', 'alCan']","[0.8187650442123413, 0.7321179509162903, 0.7273522615432739, 0.6862888932228088, 0.4501901865005493]"
1,alCan,360.png,360_f744feb80c524c30b74c03203ee7ecda.jpg,2,"[4.0, 1.0]","['milkCarton', 'paperBox']","[0.3708637058734894, 0.35655468702316284]"
1,alCan,360_F_181653524_RfULduU1PJGPfiLX3V4FegUj96f7lPx2.jpg,360_F_181653524_RfULduU1PJGPfiLX3V4FegUj96f7lPx2_00ea4e773d714bebb0533cb3004bbe07.jpg,1,[24.0],['alCan'],[0.8072659373283386]
1,alCan,360_F_222191256_pHmKloI7pz2rjbQ0Ek3UmS82D8zwbiNG.jpg,360_F_222191256_pHmKloI7pz2rjbQ0Ek3UmS82D8zwbiNG_e89337280266480d86aaf86bb135815a.jpg,1,[24.0],['alCan'],[0.7349439859390259]
1,alCan,360_F_348952713_kwQxTjJMowkXlRsOXXO75hXocG8XZbI9.jpg,360_F_348952713_kwQxTjJMowkXlRsOXXO75hXocG8XZbI9_20fa625637c44ea49dfc44def263c086.jpg,2,"[24.0, 24.0]","['alCan', 'alCan']","[0.837755024433136, 0.7649171948432922]"
1,alCan,4c0221a9f66b0f76cba3a369c863e119a9ea3c21.jpg,4c0221a9f66b0f76cba3a369c863e119a9ea3c21_e1ac6ef6728844f0bebb8567d34ce554.jpg,1,[24.0],['alCan'],[0.7685129046440125]
1,alCan,4d6e0b81-8df2-47ce-a228-c0dbdfc0f759-28ee752d6ab69b110fd627c.png,4d6e0b81-8df2-47ce-a228-c0dbdfc0f759-28ee752d6ab69b110fd627c_6273f1738b874af0b7997553a6862f1a.jpg,2,"[24.0, 9.0]","['alCan', 'plasticContainer']","[0.8963727951049805, 0.44209563732147217]"
1,alCan,5.png,5_a5394345e9344c88b56a0252141173d0.jpg,4,"[22.0, 24.0, 24.0, 22.0]","['book', 'alCan', 'alCan', 'book']","[0.5497006773948669, 0.34954288601875305, 0.25366464257240295, 0.2506447434425354]"
1,alCan,5000112662085.jpg,5000112662085_c432d3390990401bb4b801b134809b13.jpg,1,[4.0],['milkCarton'],[0.632573127746582]
1,alCan,5000112673876.jpg,5000112673876_b8c0f457c2fb4ec088100e293a667134.jpg,1,[24.0],['alCan'],[0.9025254845619202]
1,alCan,5000112674897.jpg,5000112674897_190d25500472426fb0c3af66e2b0e45d.jpg,1,[24.0],['alCan'],[0.8842806220054626]
1,alCan,5060466510241.jpg,5060466510241_555a5c47ac7b4d24bf9e72733cfc8562.jpg,1,[24.0],['alCan'],[0.911511242389679]
1,alCan,5060477670217.jpg,5060477670217_fd74567ba9a34e5d8e7277640293b642.jpg,1,[4.0],['milkCarton'],[0.7298623919487]
1,alCan,5061013944250.jpg,5061013944250_15cbd82c55464d1cb4bbc98fdde89d87.jpg,1,[24.0],['alCan'],[0.8751562237739563]
1,alCan,51xvU2cAAtL-_AC_.jpg,51xvU2cAAtL-_AC__aa5edc1c607c408a9651b8357845e1cd.jpg,1,[1.0],['paperBox'],[0.8575670719146729]
1,alCan,5c804f42-8d53-4af9-8784-8ee94eb7dfe9.png,5c804f42-8d53-4af9-8784-8ee94eb7dfe9_1a446383ec084630aa57b8dc143b89da.jpg,1,[24.0],['alCan'],[0.9296348094940186]
1,alCan,619KWtp6nOL-_SY741_grande.jpg,619KWtp6nOL-_SY741_grande_a84f10ca01f24171b45597e2c85e5f6a.jpg,1,[24.0],['alCan'],[0.9246724247932434]
1,alCan,61Rt1KAYq4L.jpg,61Rt1KAYq4L_1f2d319f3edb4a5eaa4a9c5aa39cdfb9.jpg,2,"[24.0, 9.0]","['alCan', 'plasticContainer']","[0.7702395915985107, 0.7338472008705139]"
1,alCan,61y-1f-cAKL.jpg,61y-1f-cAKL_b5d45ff40ed54a2991434cacded745da.jpg,2,"[24.0, 24.0]","['alCan', 'alCan']","[0.916299045085907, 0.8525390028953552]"
1,alCan,711TM5g48JL-_SL1500_.jpg,711TM5g48JL-_SL1500__627e35f45c9e4dcb9f271f080193c200.jpg,1,[24.0],['alCan'],[0.9020128846168518]
1,alCan,71518_Coke-one-brand-lineup-raised.jpg,71518_Coke-one-brand-lineup-raised_64c95f2154b047bfbfd0670758f208d2.jpg,5,"[24.0, 24.0, 24.0, 24.0, 11.0]","['alCan', 'alCan', 'alCan', 'alCan', 'paperCup']","[0.8769882321357727, 0.8751979470252991, 0.8426948189735413, 0.6098431944847107, 0.5579460859298706]"
1,alCan,7188zx-4psL.jpg,7188zx-4psL_2afb61d98c14463b9481272c92e8246f.jpg,1,[22.0],['book'],[0.8901136517524719]
1,alCan,71gJNnJle0L-_SL1500_.jpg,71gJNnJle0L-_SL1500__45e5ca05c6514269968bdd463852366c.jpg,1,[24.0],['alCan'],[0.8983254432678223]
1,alCan,71HVQKBynJL-_AC_UL600_SR600-600_.jpg,71HVQKBynJL-_AC_UL600_SR600-600__139050796e6c464f9078a72f9193ea76.jpg,1,[9.0],['plasticContainer'],[0.4870201349258423]
1,alCan,71jrWkbKWmL-_AC_UL600_SR600-600_.jpg,71jrWkbKWmL-_AC_UL600_SR600-600__642b255f2f484cf0be8960d439c022eb.jpg,2,"[24.0, 20.0]","['alCan', 'glassJar']","[0.8146935105323792, 0.5421780347824097]"
1,alCan,71LpkE-TVvL.jpg,71LpkE-TVvL_a74d986032d849489cb0d5452ec52899.jpg,4,"[24.0, 24.0, 24.0, 24.0]","['alCan', 'alCan', 'alCan', 'alCan']","[0.9390488862991333, 0.9226416349411011, 0.9154251217842102, 0.9056040048599243]"
1,alCan,72622.jpg,72622_fafb396eaf664ae18ed99aa976b2631f.jpg,1,[1.0],['paperBox'],[0.7746720314025879]
1,alCan,77733_FRONT-448119_535x.jpg,77733_FRONT-448119_535x_3ab79e8d973c44f2ac4ae064fef9089f.jpg,2,"[24.0, 9.0]","['alCan', 'plasticContainer']","[0.6749417185783386, 0.33542099595069885]"
1,alCan,7Up.jpg,7Up_f8817987a7094735a9ceff3e42209645.jpg,1,[24.0],['alCan'],[0.9433769583702087]
1,alCan,80534.jpg,80534_2bba64463d1942268ff325d5f1ac66eb.jpg,1,[24.0],['alCan'],[0.904447615146637]
1,alCan,819296.jpg,819296_e42f1fc1fa054ad7b79396b6302ab91f.jpg,1,[1.0],['paperBox'],[0.7769825458526611]
1,alCan,819299.jpg,819299_cd42f9adf77b4ff69e8d04dca0a02cfe.jpg,1,[1.0],['paperBox'],[0.8239383101463318]
1,alCan,81EyKjxp9GL-_AC_UF894-1000_QL80_.jpg,81EyKjxp9GL-_AC_UF894-1000_QL80__b397ba9a4d5e4bbba3bf0376235daee4.jpg,0,[],[],[]
1,alCan,81q6LZ-J0aL.jpg,81q6LZ-J0aL_bc0b5ac2a34048a992a5ea6d22f9e6ae.jpg,2,"[24.0, 22.0]","['alCan', 'book']","[0.735260009765625, 0.6872655749320984]"
1,alCan,81R9zmkL6ZL-_AC_UL600_SR600-600_.jpg,81R9zmkL6ZL-_AC_UL600_SR600-600__226d14eb4b864a98bd309ec059133727.jpg,2,"[9.0, 1.0]","['plasticContainer', 'paperBox']","[0.6368995308876038, 0.38115593791007996]"
1,alCan,821721.jpg,821721_bcc0e60758804e8e8b27ace154951f9a.jpg,1,[24.0],['alCan'],[0.9097998142242432]
1,alCan,824256.jpg,824256_b354a7c8a88f4fc385d239a148d488bd.jpg,1,[24.0],['alCan'],[0.8782253265380859]
1,alCan,8413052090035-1.jpg,8413052090035-1_abfdb9867a574b4f88a591fbb96f91e7.jpg,1,[24.0],['alCan'],[0.9030411839485168]
