                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1715,                 1.9038,                 1.4675,                0.70657,                0.62971,                0.67881,                0.49167,                 1.0244,                 1.3206,                 1.4459,              0.0033329,              0.0033329,              0.0033329
                      2,                 1.1265,                 1.3696,                 1.4307,                0.73569,                0.68215,                0.72817,                0.54396,                0.96144,                 1.1411,                 1.4088,              0.0063362,              0.0063362,              0.0063362
                      3,                 1.1753,                 1.4746,                 1.4659,                 0.7404,                0.68171,                0.73484,                0.55577,                0.93775,                 1.1257,                 1.3864,              0.0090096,              0.0090096,              0.0090096
                      4,                 1.1587,                 1.4239,                  1.452,                0.75787,                0.70544,                0.75876,                0.58389,                  0.905,                 1.0379,                 1.3563,               0.008515,               0.008515,               0.008515
                      5,                 1.1018,                 1.2559,                 1.4066,                 0.7794,                0.72658,                0.78465,                0.61333,                0.87084,                0.96955,                 1.3307,               0.008515,               0.008515,               0.008515
                      6,                 1.0645,                 1.1489,                 1.3784,                0.79157,                0.74231,                0.79757,                 0.6281,                0.85496,                0.92466,                 1.3148,                0.00802,                0.00802,                0.00802
                      7,                 1.0351,                 1.0731,                 1.3562,                0.79801,                0.75099,                 0.8052,                0.63721,                 0.8452,                0.89992,                 1.3055,               0.007525,               0.007525,               0.007525
                      8,                 1.0155,                 1.0192,                 1.3406,                0.80042,                0.76077,                0.81059,                0.64446,                0.83843,                 0.8826,                 1.2979,                0.00703,                0.00703,                0.00703
                      9,                 1.0121,                 1.0206,                 1.3402,                0.80136,                0.76504,                0.81294,                0.64788,                0.83284,                0.87401,                 1.2934,                0.00703,                0.00703,                0.00703
                     10,                0.99073,                 0.9678,                 1.3251,                0.80756,                0.76461,                0.81547,                0.65135,                0.82896,                  0.865,                 1.2899,                0.00604,                0.00604,                0.00604
                     11,                0.93722,                0.79805,                 1.3584,                0.80836,                0.77175,                0.82018,                0.65793,                0.82084,                 0.8484,                 1.2822,               0.005545,               0.005545,               0.005545
                     12,                0.91172,                0.74677,                  1.335,                0.81148,                0.77852,                 0.8255,                0.66507,                0.81243,                0.83114,                 1.2737,                0.00505,                0.00505,                0.00505
                     13,                 0.8893,                0.70474,                 1.3154,                0.81603,                0.78233,                0.83025,                0.67158,                0.80408,                0.81504,                 1.2648,               0.004555,               0.004555,               0.004555
                     14,                0.86869,                0.66779,                 1.2988,                0.82046,                0.78738,                0.83474,                0.67774,                0.79595,                0.79877,                 1.2567,                0.00406,                0.00406,                0.00406
                     15,                0.84932,                 0.6325,                 1.2821,                0.82372,                0.79358,                0.83938,                0.68386,                0.78774,                0.78333,                 1.2484,               0.003565,               0.003565,               0.003565
                     16,                0.83052,                0.59667,                 1.2655,                0.83157,                 0.7939,                0.84273,                0.68849,                0.78187,                0.76928,                 1.2421,                0.00307,                0.00307,                0.00307
                     17,                 0.8456,                0.62039,                 1.2785,                0.83534,                0.79592,                 0.8458,                0.69247,                0.77795,                0.75965,                 1.2381,                0.00307,                0.00307,                0.00307
                     18,                0.81426,                0.57177,                 1.2545,                0.83794,                0.79922,                0.84857,                 0.6962,                0.77329,                0.75077,                 1.2334,                0.00208,                0.00208,                0.00208
                     19,                0.79156,                0.53445,                 1.2338,                0.84237,                0.80046,                0.85127,                0.70017,                0.76933,                0.74112,                 1.2292,               0.001585,               0.001585,               0.001585
                     20,                0.76997,                0.50081,                 1.2165,                 0.8463,                0.80416,                0.85384,                0.70354,                0.76492,                 0.7314,                 1.2245,                0.00109,                0.00109,                0.00109
